Страна,Kлики,Показы,CTR,Позиция
Польша,130,9635,1.35%,10.07
Великобритания,1,34,2.94%,8.24
Хорватия,1,2,50%,2.5
США,0,161,0%,8.2
Германия,0,37,0%,9.7
Нидерланды,0,15,0%,8.6
Украина,0,12,0%,5.92
Испания,0,10,0%,15.7
Турция,0,9,0%,6.11
Греция,0,9,0%,9.44
Италия,0,9,0%,12.11
Дания,0,8,0%,10.38
Франция,0,8,0%,22.12
Норвегия,0,7,0%,13.29
Индонезия,0,4,0%,7.75
Швеция,0,4,0%,9.5
Словакия,0,4,0%,10.25
Бразилия,0,3,0%,8
Индия,0,3,0%,8
Вьетнам,0,3,0%,61.33
Россия,0,2,0%,2.5
Армения,0,2,0%,3
Япония,0,2,0%,5.5
Тунис,0,2,0%,6.5
Бельгия,0,2,0%,7.5
Ирландия,0,2,0%,7.5
Таиланд,0,2,0%,7.5
Китай,0,2,0%,8
Черногория,0,2,0%,8
Канада,0,2,0%,9
Марокко,0,2,0%,10.5
Албания,0,2,0%,11
Саудовская Аравия,0,2,0%,12
Чехия,0,2,0%,22.5
Латвия,0,2,0%,22.5
Болгария,0,2,0%,28
Португалия,0,2,0%,46.5
Австрия,0,1,0%,1
Пуэрто-Рико,0,1,0%,1
Андорра,0,1,0%,4
Азербайджан,0,1,0%,4
Швейцария,0,1,0%,6
Южная Африка,0,1,0%,6
Объединенные Арабские Эмираты,0,1,0%,8
Замбия,0,1,0%,8
Аргентина,0,1,0%,9
Мексика,0,1,0%,9
Мальта,0,1,0%,9
Филиппины,0,1,0%,9
Исландия,0,1,0%,10
Гваделупа,0,1,0%,12
Сингапур,0,1,0%,12
Венгрия,0,1,0%,21
Румыния,0,1,0%,39
Бутан,0,1,0%,100
