Дата,Kлики,Показы,CTR,Позиция
2026-06-07,1,75,1.33%,15.5
2026-06-08,1,122,0.82%,11.5
2026-06-09,0,89,0%,11.6
2026-06-10,3,118,2.54%,8.3
2026-06-11,0,75,0%,10.1
2026-06-12,0,103,0%,9.2
2026-06-13,1,98,1.02%,8.1
2026-06-14,3,58,5.17%,11.2
2026-06-15,0,119,0%,9.3
2026-06-16,0,117,0%,8.7
2026-06-17,1,127,0.79%,10
2026-06-18,1,99,1.01%,9.1
2026-06-19,1,117,0.85%,10.1
2026-06-20,3,90,3.33%,9.4
2026-06-21,3,64,4.69%,9.4
2026-06-22,5,169,2.96%,8.5
2026-06-23,2,88,2.27%,9.2
2026-06-24,1,100,1%,8.8
2026-06-25,0,113,0%,8.7
2026-06-26,0,95,0%,10.4
2026-06-27,0,85,0%,8.2
2026-06-28,2,77,2.6%,13.2
2026-06-29,2,137,1.46%,9.2
2026-06-30,1,112,0.89%,10.5
2026-07-01,3,151,1.99%,10.3
2026-07-02,4,136,2.94%,9.7
2026-07-03,1,92,1.09%,10
2026-07-04,0,122,0%,8.9
2026-07-05,1,101,0.99%,12
2026-07-06,1,149,0.67%,9.9
2026-07-07,1,137,0.73%,8.6
2026-07-08,0,131,0%,12.9
2026-07-09,0,99,0%,10.1
2026-07-10,1,121,0.83%,11.6
2026-07-11,3,110,2.73%,10.8
2026-07-12,1,111,0.9%,10.7
2026-07-13,0,112,0%,11.5
2026-07-14,2,126,1.59%,12.1
2026-07-15,0,95,0%,10.9
2026-07-16,0,101,0%,8.5
2026-07-17,3,108,2.78%,9.4
2026-07-18,0,100,0%,7.9
2026-07-19,0,107,0%,9.8
2026-07-20,3,110,2.73%,8
2026-07-21,1,101,0.99%,8.4
2026-07-22,3,108,2.78%,9.4
2026-07-23,1,135,0.74%,7.9
2026-07-24,3,112,2.68%,8.7
2026-07-25,4,88,4.55%,7.6
2026-07-26,2,81,2.47%,11.8
2026-07-27,1,136,0.74%,9.1
2026-07-28,2,106,1.89%,10.5
2026-07-29,0,117,0%,9.3
2026-07-30,4,142,2.82%,8.5
2026-07-31,1,114,0.88%,9
2026-08-01,0,111,0%,10.1
2026-08-02,1,171,0.58%,9.6
2026-08-03,3,140,2.14%,10
2026-08-04,1,126,0.79%,9.9
2026-08-05,1,123,0.81%,11.3
2026-08-06,1,125,0.8%,9.7
2026-08-07,1,107,0.93%,9.9
2026-08-08,3,106,2.83%,9.9
2026-08-09,0,104,0%,13.7
2026-08-10,5,155,3.23%,10
2026-08-11,0,143,0%,10.6
2026-08-12,1,133,0.75%,12
2026-08-13,2,140,1.43%,12.2
2026-08-14,2,101,1.98%,12.6
2026-08-15,0,98,0%,12
2026-08-16,1,96,1.04%,12.3
2026-08-17,3,150,2%,12.2
2026-08-18,4,147,2.72%,10.7
2026-08-19,2,144,1.39%,11.2
2026-08-20,1,90,1.11%,8.7
2026-08-21,1,118,0.85%,11.7
2026-08-22,2,121,1.65%,17.9
2026-08-23,0,109,0%,15.2
2026-08-24,0,159,0%,15.2
2026-08-25,3,155,1.94%,15.2
2026-08-26,1,140,0.71%,13
2026-08-27,1,157,0.64%,20.1
2026-08-28,0,154,0%,15.3
2026-08-29,2,136,1.47%,14.2
2026-08-30,0,98,0%,14.2
2026-08-31,0,149,0%,12.2
2026-09-01,0,91,0%,10.9
2026-09-02,1,138,0.72%,8.7
2026-09-03,2,106,1.89%,10.8
2026-09-04,0,98,0%,11.6
2026-09-05,1,112,0.89%,10.5
2026-09-06,1,52,1.92%,14
